,model_type,clf,date,parameters,train_set_size,validation_set_size,baseline,precision_at_5,precision_at_10,precision_at_20,precision_at_30,precision_at_40,precision_at_50,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,auc-roc
0,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",April,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",71211,5736,0.34309623430962344,0.5944055944055944,0.5619546247818499,0.5248474280732345,0.4965116279069767,0.4803836094158675,0.46513249651324967,0.08638211382113821,0.16361788617886178,0.30589430894308944,0.4339430894308943,0.5599593495934959,0.6778455284552846,0.6759043043256865
1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",May,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",74857,6484,0.3431523750771129,0.6450617283950617,0.5987654320987654,0.5501543209876543,0.49922879177377893,0.4751253374469726,0.459901295496607,0.09393258426966292,0.17438202247191012,0.3204494382022472,0.43640449438202245,0.5537078651685393,0.6701123595505618,0.6789278487591379
2,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",June,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",80726,9618,0.3018299022665835,0.59375,0.5660770031217481,0.5039001560062403,0.4703639514731369,0.4424226670132571,0.4181742566022042,0.09817430244574578,0.18739235273854632,0.33379262831553563,0.4674474681364106,0.5862900447812608,0.6927316569066483,0.6881228728644643
3,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",April,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 1000}",71211,5736,0.34309623430962344,0.5909090909090909,0.5619546247818499,0.5231037489102005,0.4965116279069767,0.47951176983435045,0.4605997210599721,0.0858739837398374,0.16361788617886178,0.3048780487804878,0.4339430894308943,0.5589430894308943,0.671239837398374,0.6726857425819481
4,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",May,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 1000}",74857,6484,0.3431523750771129,0.6358024691358025,0.6157407407407407,0.5385802469135802,0.49922879177377893,0.47898187427689937,0.4577421344848859,0.09258426966292135,0.1793258426966292,0.3137078651685393,0.43640449438202245,0.5582022471910112,0.6669662921348315,0.6761814109447014
5,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",June,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 1000}",80726,9618,0.3018299022665835,0.58125,0.5764828303850156,0.5085803432137286,0.4682842287694974,0.4424226670132571,0.41755042628405076,0.09610747502583535,0.19083706510506374,0.3368928694454013,0.46538064071650015,0.5862900447812608,0.691698243196693,0.6888330786776922
6,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",April,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",71211,5736,0.34309623430962344,0.6013986013986014,0.5427574171029669,0.5170008718395815,0.502906976744186,0.4803836094158675,0.45781032078103207,0.08739837398373984,0.15802845528455284,0.3013211382113821,0.43953252032520324,0.5599593495934959,0.6671747967479674,0.6711071410077158
7,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",May,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",74857,6484,0.3431523750771129,0.6481481481481481,0.5879629629629629,0.5339506172839507,0.49460154241645243,0.47589664481295796,0.4608266502159161,0.09438202247191012,0.17123595505617978,0.3110112359550562,0.43235955056179776,0.5546067415730337,0.6714606741573034,0.6783781601948022
8,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",June,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",80726,9618,0.3018299022665835,0.5791666666666667,0.5691987513007284,0.5065002600104004,0.47001733102253035,0.4439823238887445,0.41401538781451447,0.0957630037891836,0.18842576644850156,0.33551498449879436,0.46710299689975887,0.5883568722011712,0.6858422321736135,0.6869833220005801
9,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1000, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",April,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 1000}",71211,5736,0.34309623430962344,0.5909090909090909,0.5636998254799301,0.5265911072362686,0.49767441860465117,0.48256320836966,0.4602510460251046,0.0858739837398374,0.1641260162601626,0.30691056910569103,0.4349593495934959,0.5625,0.6707317073170732,0.673497159434174
